Ime;Gorovje;Višina;Število_poti;Vrsta_cilja
Ahac;Goriško, Notranjsko in Snežniško hribovje;799;6;['vrh', 'cerkev']
Ajdovščina;Goriško, Notranjsko in Snežniško hribovje;804;1;['vrh']
Ankaran;Goriško, Notranjsko in Snežniško hribovje;18;3;['']
Baba (pri Javornikih);Goriško, Notranjsko in Snežniško hribovje;1085;2;['vrh']
Bela stena;Goriško, Notranjsko in Snežniško hribovje;1122;1;['vrh']
Bele ovce;Goriško, Notranjsko in Snežniško hribovje;1029;1;['vrh']
Bele stene;Goriško, Notranjsko in Snežniško hribovje;863;2;['']
Belovka;Goriško, Notranjsko in Snežniško hribovje;848;2;['vrh']
Bezgarska planina;Goriško, Notranjsko in Snežniško hribovje;895;4;['planina']
Bivak Črna peč;Goriško, Notranjsko in Snežniško hribovje;830;2;['bivak']
Bloško jezero;Goriško, Notranjsko in Snežniško hribovje;748;4;['koča', 'jezero']
Čaven;Goriško, Notranjsko in Snežniško hribovje;1185;3;['vrh']
Čelkov vrh;Goriško, Notranjsko in Snežniško hribovje;1106;2;['vrh']
Cerk;Goriško, Notranjsko in Snežniško hribovje;1192;5;['vrh']
Čičer;Goriško, Notranjsko in Snežniško hribovje;726;1;['']
Črni vrh (Iskra);Goriško, Notranjsko in Snežniško hribovje;119;1;['vrh']
Črni vrh (pri Lokvah);Goriško, Notranjsko in Snežniško hribovje;1072;1;['vrh']
Črnokalska Varda;Goriško, Notranjsko in Snežniško hribovje;423;3;['vrh']
Debeli rtič;Goriško, Notranjsko in Snežniško hribovje;28;1;['']
Deveti konfin;Goriško, Notranjsko in Snežniško hribovje;930;2;['vrh']
Divje jezero;Goriško, Notranjsko in Snežniško hribovje;350;1;['jezero']
Dolina Drage;Goriško, Notranjsko in Snežniško hribovje;310;1;['jezero']
Dolski maj;Goriško, Notranjsko in Snežniško hribovje;912;2;['vrh']
Dom na Goropekah;Goriško, Notranjsko in Snežniško hribovje;742;2;['koča']
Dom na Sabotinu;Goriško, Notranjsko in Snežniško hribovje;560;2;['koča']
Dom na Slivnici;Goriško, Notranjsko in Snežniško hribovje;1078;2;['koča']
Dom na Sviščakih;Goriško, Notranjsko in Snežniško hribovje;1242;1;['koča']
Dom na Travni Gori;Goriško, Notranjsko in Snežniško hribovje;906;2;['koča']
Dom v Iškem Vintgarju;Goriško, Notranjsko in Snežniško hribovje;360;1;['slap', 'koča', 'jezero']
Fajti hrib;Goriško, Notranjsko in Snežniško hribovje;433;2;['vrh']
Firstov rep;Goriško, Notranjsko in Snežniško hribovje;1002;5;['']
Frančiškov hrib;Goriško, Notranjsko in Snežniško hribovje;632;3;['vrh']
Furlanovo zavetišče pri Abramu;Goriško, Notranjsko in Snežniško hribovje;900;8;['koča']
Globočak;Goriško, Notranjsko in Snežniško hribovje;809;2;['vrh']
Goli hrib;Goriško, Notranjsko in Snežniško hribovje;217;2;['vrh']
Goli vrh (Cemarovnik);Goriško, Notranjsko in Snežniško hribovje;816;1;['vrh']
Golič;Goriško, Notranjsko in Snežniško hribovje;890;5;['vrh']
Gora (Sveti Lovrenc);Goriško, Notranjsko in Snežniško hribovje;1019;3;['vrh', 'cerkev']
Goropeški grič (Pikrej);Goriško, Notranjsko in Snežniško hribovje;672;1;['vrh']
Goteniški Snežnik;Goriško, Notranjsko in Snežniško hribovje;1289;2;['vrh']
Gozdarska koča Pri logarnici;Goriško, Notranjsko in Snežniško hribovje;889;1;['']
Grad Kostel;Goriško, Notranjsko in Snežniško hribovje;406;2;['vrh']
Grad Lož (Pusti grad);Goriško, Notranjsko in Snežniško hribovje;698;1;['vrh']
Grad Socerb;Goriško, Notranjsko in Snežniško hribovje;437;6;['vrh', 'koča', 'cerkev']
Gradišče (Čepan);Goriško, Notranjsko in Snežniško hribovje;791;1;['vrh']
Gradiška Tura;Goriško, Notranjsko in Snežniško hribovje;793;5;['vrh']
Grčarevec;Goriško, Notranjsko in Snežniško hribovje;476;1;['jezero']
Griček;Goriško, Notranjsko in Snežniško hribovje;532;1;['vrh']
Grmada (Nanos);Goriško, Notranjsko in Snežniško hribovje;1209;7;['vrh']
Grmada (Planinska gora);Goriško, Notranjsko in Snežniško hribovje;873;3;['vrh']
Grmada pri Slavniku;Goriško, Notranjsko in Snežniško hribovje;998;2;['vrh']
Gura;Goriško, Notranjsko in Snežniško hribovje;510;1;['vrh', 'cerkev']
Hrpeljska gora;Goriško, Notranjsko in Snežniško hribovje;737;3;['vrh']
Iški morost;Goriško, Notranjsko in Snežniško hribovje;289;3;['']
Iški Vintgar (Vrbica);Goriško, Notranjsko in Snežniško hribovje;420;1;['']
Iztokova koča pod Golaki;Goriško, Notranjsko in Snežniško hribovje;1260;3;['koča']
Izvir Ljubljanice (Retovje);Goriško, Notranjsko in Snežniško hribovje;308;1;['']
Izvir Nežice;Goriško, Notranjsko in Snežniško hribovje;390;1;['slap']
Jama Pečinka;Goriško, Notranjsko in Snežniško hribovje;295;1;['']
Jama Vilenica;Goriško, Notranjsko in Snežniško hribovje;420;1;['']
Jampršnik;Goriško, Notranjsko in Snežniško hribovje;649;2;['vrh']
Javornik nad Črnim Vrhom;Goriško, Notranjsko in Snežniško hribovje;1240;8;['vrh']
Ježa;Goriško, Notranjsko in Snežniško hribovje;949;2;['vrh']
Jurjev hrib;Goriško, Notranjsko in Snežniško hribovje;109;1;['vrh']
Kameni zid;Goriško, Notranjsko in Snežniško hribovje;1081;1;['vrh']
