Ime;Višinska_razlika;Zahtevnost;Čas
Ahac;189;lahka označena pot;40 min
Ahac;300;lahka označena pot;2 h
Ahac;379;lahka neoznačena steza;1 h
Ahac;377;lahka neoznačena steza;1 h
Ahac;175;lahka označena pot;1 h
Ahac;69;lahka neoznačena steza;20 min
Ajdovščina;225;lahka neoznačena steza;40 min
Ankaran;400;lahka označena pot;3 h 30 min
Ankaran;200;lahka označena pot;2 h
Ankaran;70;lahka označena pot;45 min
Baba (pri Javornikih);450;lahka neoznačena steza;1 h 30 min
Baba (pri Javornikih);145;lahka neoznačena steza;25 min
Bela stena;650;lahka označena pot;2 h 10 min
Bele ovce;129;lahka neoznačena steza;30 min
Bele stene;159;lahka označena pot;1 h
Bele stene;159;lahka označena pot;50 min
Belovka;65;lahka neoznačena steza;15 min
Belovka;93;lahka neoznačena steza;15 min
Bezgarska planina;610;lahka označena pot;2 h 10 min
Bezgarska planina;243;lahka označena pot;45 min
Bezgarska planina;345;lahka označena pot;1 h
Bezgarska planina;5;lahka označena pot;10 min
Bivak Črna peč;30;delno zahtevna označena pot;2 h
Bivak Črna peč;470;lahka označena pot;1 h 45 min
Bloško jezero;15;lahka označena pot;15 min
Bloško jezero;60;lahka označena pot;25 min
Bloško jezero;40;lahka označena pot;1 h 10 min
Bloško jezero;15;lahka označena pot;20 min
Čaven;785;lahka neoznačena steza;2 h 30 min
Čaven;860;lahka neoznačena steza;2 h 40 min
Čaven;1140;lahka neoznačena steza;3 h 50 min
Čelkov vrh;420;lahka označena pot;1 h 30 min
Čelkov vrh;270;lahka označena pot;50 min
Cerk;449;lahka označena pot;1 h 30 min
Cerk;300;lahka označena pot;1 h 45 min
Cerk;540;lahka označena pot;2 h 40 min
Cerk;1000;lahka označena pot;4 h 5 min
Cerk;740;lahka označena pot;2 h 55 min
Čičer;528;lahka označena pot;3 h
Črni vrh (Iskra);101;lahka označena pot, lahka neoznačena steza;20 min
Črni vrh (pri Lokvah);126;lahka neoznačena steza;25 min
Črnokalska Varda;385;lahka označena pot;1 h 25 min
Črnokalska Varda;25;lahka označena pot;5 min
Črnokalska Varda;44;lahka označena pot;10 min
