Ime;Višinska_razlika;Zahtevnost;Čas
Ahac;189;lahka označena pot;40
Ahac;300;lahka označena pot;120
Ahac;379;lahka neoznačena steza;60
Ahac;377;lahka neoznačena steza;60
Ahac;175;lahka označena pot;60
Ahac;69;lahka neoznačena steza;20
Ajdovščina;225;lahka neoznačena steza;40
Ankaran;400;lahka označena pot;210
Ankaran;200;lahka označena pot;120
Ankaran;70;lahka označena pot;45
Baba (pri Javornikih);450;lahka neoznačena steza;90
Baba (pri Javornikih);145;lahka neoznačena steza;25
Bela stena;650;lahka označena pot;130
Bele ovce;129;lahka neoznačena steza;30
Bele stene;159;lahka označena pot;60
Bele stene;159;lahka označena pot;50
Belovka;65;lahka neoznačena steza;15
Belovka;93;lahka neoznačena steza;15
Bezgarska planina;610;lahka označena pot;130
Bezgarska planina;243;lahka označena pot;45
Bezgarska planina;345;lahka označena pot;60
Bezgarska planina;5;lahka označena pot;10
Bivak Črna peč;30;delno zahtevna označena pot;120
Bivak Črna peč;470;lahka označena pot;105
Bloško jezero;15;lahka označena pot;15
Bloško jezero;60;lahka označena pot;25
Bloško jezero;40;lahka označena pot;70
Bloško jezero;15;lahka označena pot;20
Čaven;785;lahka neoznačena steza;150
Čaven;860;lahka neoznačena steza;160
Čaven;1140;lahka neoznačena steza;230
Čelkov vrh;420;lahka označena pot;90
Čelkov vrh;270;lahka označena pot;50
Cerk;449;lahka označena pot;90
Cerk;300;lahka označena pot;105
Cerk;540;lahka označena pot;160
Cerk;1000;lahka označena pot;245
Cerk;740;lahka označena pot;175
Čičer;528;lahka označena pot;180
Črni vrh (Iskra);101;lahka označena pot, lahka neoznačena steza;20
Črni vrh (pri Lokvah);126;lahka neoznačena steza;25
Črnokalska Varda;385;lahka označena pot;85
Črnokalska Varda;25;lahka označena pot;5
Črnokalska Varda;44;lahka označena pot;10
Debeli rtič;55;lahka označena pot;45
Deveti konfin;180;lahka označena pot;70
Deveti konfin;200;lahka označena pot;45
Divje jezero;15;lahka označena pot;10
Dolina Drage;120;lahka označena pot;50
Dolski maj;125;lahka označena pot;60
Dolski maj;130;lahka označena pot;60
Dom na Goropekah;264;lahka označena pot;40
Dom na Goropekah;270;lahka označena pot;50
Dom na Sabotinu;550;lahka označena pot;100
Dom na Sabotinu;460;delno zahtevna označena pot;105
Dom na Slivnici;498;lahka označena pot;90
Dom na Slivnici;340;lahka označena pot;80
Dom na Sviščakih;400;lahka označena pot;195
Dom na Travni Gori;300;lahka označena pot;45
Dom na Travni Gori;150;lahka označena pot;70
Dom v Iškem Vintgarju;200;lahka označena pot;150
Fajti hrib;200;lahka označena pot;60
Fajti hrib;195;lahka neoznačena steza;70
Firstov rep;135;lahka označena pot;65
Firstov rep;365;lahka označena pot;85
Firstov rep;850;lahka označena pot;205
Firstov rep;475;lahka označena pot;120
Firstov rep;585;lahka označena pot;135
Frančiškov hrib;320;delno zahtevna označena pot;50
Frančiškov hrib;15;lahka označena pot;10
Frančiškov hrib;350;lahka označena pot;75
Furlanovo zavetišče pri Abramu;770;zahtevna označena pot;150
Furlanovo zavetišče pri Abramu;800;lahka označena pot;195
Furlanovo zavetišče pri Abramu;770;zelo zahtevna označena pot;150
Furlanovo zavetišče pri Abramu;700;lahka označena pot;150
Furlanovo zavetišče pri Abramu;220;lahka označena pot;150
Furlanovo zavetišče pri Abramu;850;lahka označena pot;180
Furlanovo zavetišče pri Abramu;775;lahka označena pot;165
Furlanovo zavetišče pri Abramu;775;lahka označena pot;165
Globočak;285;lahka označena pot;50
Globočak;140;lahka označena pot;35
Goli hrib;154;lahka označena pot;40
Goli hrib;160;lahka označena pot;40
Goli vrh (Cemarovnik);205;lahka označena pot;30
Golič;650;lahka označena pot;150
Golič;575;lahka označena pot;150
Golič;540;lahka označena pot;160
Golič;525;lahka neoznačena steza;105
Gora (Sveti Lovrenc);419;lahka označena pot;65
Gora (Sveti Lovrenc);390;lahka označena pot;75
Gora (Sveti Lovrenc);420;lahka neoznačena steza;105
Goropeški grič (Pikrej);194;lahka označena pot;30
Goteniški Snežnik;800;lahka označena pot;165
Goteniški Snežnik;739;lahka označena pot;165
Gozdarska koča Pri logarnici;200;lahka označena pot;90
Grad Kostel;70;lahka označena pot;15
Grad Kostel;195;lahka označena pot;35
Grad Lož (Pusti grad);100;lahka označena pot;20
Grad Socerb;380;lahka označena pot;85
Grad Socerb;400;lahka označena pot;75
Grad Socerb;50;lahka označena pot;35
Grad Socerb;390;lahka označena pot;90
Grad Socerb;95;lahka označena pot;50
Grad Socerb;29;lahka označena pot;80
Gradišče (Čepan);240;lahka neoznačena steza;80
Gradiška Tura;543;zelo zahtevna označena pot;75
Gradiška Tura;543;zelo zahtevna označena pot;100
Gradiška Tura;543;zahtevna označena pot;75
Gradiška Tura;689;lahka označena pot;120
Gradiška Tura;620;lahka označena pot;120
Grčarevec;445;lahka označena pot;120
Griček;40;lahka neoznačena steza;10
Grmada (Nanos);450;lahka neoznačena steza;95
Grmada (Nanos);634;lahka neoznačena steza;125
Grmada (Nanos);1060;lahka neoznačena steza;215
Grmada (Nanos);909;lahka neoznačena steza;155
Grmada (Nanos);1060;lahka neoznačena steza;215
Grmada (Nanos);984;lahka neoznačena steza;170
Grmada (Nanos);984;lahka neoznačena steza;170
Grmada (Planinska gora);353;lahka neoznačena steza;60
Grmada (Planinska gora);430;lahka neoznačena steza;65
Grmada (Planinska gora);420;lahka neoznačena steza;65
Grmada pri Slavniku;470;lahka neoznačena steza;140
Grmada pri Slavniku;550;lahka označena pot, lahka neoznačena steza;110
Gura;115;lahka neoznačena steza;35
Hrpeljska gora;257;lahka označena pot;90
